Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,55141;0,05305;0,00000
0,10000;0,00069;0,24405;0,02348;0,00007
0,20000;0,00319;1,65536;0,15925;0,00033
0,30000;0,00494;1,82469;0,17554;0,00052
0,40000;0,00631;1,63026;0,15683;0,00066
0,50000;0,00850;2,59620;0,24975;0,00089
0,60000;0,01025;2,53974;0,24432;0,00108
0,70000;0,01137;3,53078;0,33966;0,00119
0,80000;0,01337;4,50301;0,43319;0,00140
0,90000;0,01506;3,12936;0,30104;0,00158
1,00000;0,01675;4,00122;0,38492;0,00176
1,10000;0,01800;4,25838;0,40966;0,00189
1,20000;0,02019;4,54064;0,43681;0,00212
1,30000;0,02200;4,75389;0,45732;0,00231
1,40000;0,02306;5,53795;0,53275;0,00242
1,50000;0,02487;6,22163;0,59852;0,00261
1,60000;0,02675;6,15891;0,59249;0,00281
1,70000;0,02850;6,49763;0,62507;0,00299
1,80000;0,02969;6,98688;0,67214;0,00312
1,90000;0,03175;6,62308;0,63714;0,00333
2,00000;0,03356;6,62308;0,63714;0,00352
2,10000;0,03481;7,08094;0,68119;0,00365
2,20000;0,03650;7,60155;0,73127;0,00383
2,30000;0,03837;7,25030;0,69748;0,00403
2,40000;0,04025;7,14366;0,68722;0,00422
2,50000;0,04137;8,06572;0,77592;0,00434
2,60000;0,04337;7,67056;0,73791;0,00455
2,70000;0,04525;7,36320;0,70834;0,00475
2,80000;0,04656;7,91517;0,76144;0,00489
2,90000;0,04806;8,05943;0,77532;0,00504
3,00000;0,05006;7,94027;0,76385;0,00525
3,10000;0,05194;7,95282;0,76506;0,00545
3,20000;0,05306;8,05943;0,77532;0,00557
3,30000;0,05494;8,58004;0,82540;0,00576
3,40000;0,05687;7,70192;0,74093;0,00597
3,50000;0,05831;8,12216;0,78135;0,00612
3,60000;0,05975;7,38830;0,71075;0,00627
3,70000;0,06181;7,48239;0,71981;0,00649
