Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,70170;0,06750;0,00000
0,10000;0,00100;0,43199;0,04156;0,00010
0,20000;0,00300;1,50457;0,14474;0,00031
0,30000;0,00512;1,94365;0,18698;0,00054
0,40000;0,00656;2,20081;0,21172;0,00069
0,50000;0,00800;2,79667;0,26904;0,00084
0,60000;0,01000;2,54579;0,24491;0,00105
0,70000;0,01187;3,28592;0,31611;0,00125
0,80000;0,01306;4,11388;0,39576;0,00137
0,90000;0,01487;4,37105;0,42050;0,00156
1,00000;0,01681;4,84774;0,46635;0,00176
1,10000;0,01831;5,28682;0,50859;0,00192
1,20000;0,01962;6,31548;0,60755;0,00206
1,30000;0,02175;6,53502;0,62867;0,00228
1,40000;0,02350;6,91763;0,66548;0,00247
1,50000;0,02475;7,43824;0,71556;0,00260
1,60000;0,02637;7,70795;0,74151;0,00277
1,70000;0,02844;7,54488;0,72582;0,00298
1,80000;0,03006;8,07175;0,77650;0,00315
1,90000;0,03137;8,42926;0,81090;0,00329
2,00000;0,03344;8,55471;0,82296;0,00351
2,10000;0,03506;8,73662;0,84046;0,00368
2,20000;0,03650;8,83071;0,84951;0,00383
2,30000;0,03800;9,37013;0,90141;0,00399
2,40000;0,04012;9,36384;0,90080;0,00421
2,50000;0,04181;9,28231;0,89296;0,00439
2,60000;0,04300;8,98752;0,86460;0,00451
2,70000;0,04506;9,69630;0,93279;0,00473
2,80000;0,04669;9,15059;0,88029;0,00490
2,90000;0,04831;10,09144;0,97080;0,00507
3,00000;0,04962;11,08877;1,06674;0,00521
3,10000;0,05181;11,53410;1,10958;0,00544
3,20000;0,05356;12,48124;1,20070;0,00562
3,30000;0,05469;13,10220;1,26043;0,00574
3,40000;0,05662;14,07440;1,35396;0,00594
3,50000;0,05837;14,23750;1,36965;0,00613
3,60000;0,06006;15,17835;1,46016;0,00630
3,70000;0,06125;15,84948;1,52472;0,00643
3,80000;0,06344;16,54571;1,59170;0,00666
3,90000;0,06519;16,69626;1,60618;0,00684
4,00000;0,06637;17,59948;1,69307;0,00696
4,10000;0,06819;18,19537;1,75040;0,00716
