Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,54410;0,05234;0,00000
0,10000;0,00069;1,10862;0,10665;0,00007
0,20000;0,00275;5,81290;0,55920;0,00029
0,30000;0,00519;12,58708;1,21088;0,00054
0,40000;0,00662;16,88993;1,62481;0,00070
0,50000;0,00806;20,32719;1,95548;0,00085
0,60000;0,01019;24,91856;2,39717;0,00107
0,70000;0,01194;28,84506;2,77490;0,00125
0,80000;0,01312;32,00008;3,07841;0,00138
0,90000;0,01500;35,83250;3,44709;0,00157
1,00000;0,01694;40,02245;3,85016;0,00178
1,10000;0,01837;43,69176;4,20315;0,00193
1,20000;0,01969;46,85305;4,50727;0,00207
1,30000;0,02181;51,02418;4,90853;0,00229
1,40000;0,02362;54,46144;5,23920;0,00248
1,50000;0,02487;58,28759;5,60727;0,00261
1,60000;0,02656;60,63345;5,83294;0,00279
1,70000;0,02856;62,48381;6,01095;0,00300
1,80000;0,03012;63,51247;6,10991;0,00316
1,90000;0,03137;65,31891;6,28369;0,00329
2,00000;0,03350;66,49185;6,39652;0,00352
2,10000;0,03519;67,97840;6,53953;0,00369
2,20000;0,03662;69,77231;6,71210;0,00384
2,30000;0,03812;71,89864;6,91666;0,00400
2,40000;0,04025;73,00884;7,02346;0,00422
2,50000;0,04194;74,40131;7,15741;0,00440
2,60000;0,04306;74,75258;7,19121;0,00452
2,70000;0,04512;76,53392;7,36257;0,00474
2,80000;0,04681;76,24540;7,33482;0,00491
2,90000;0,04837;76,87891;7,39576;0,00508
3,00000;0,04975;77,12981;7,41989;0,00522
3,10000;0,05194;78,11456;7,51463;0,00545
3,20000;0,05362;78,21491;7,52428;0,00563
3,30000;0,05475;78,81706;7,58221;0,00575
3,40000;0,05669;78,49091;7,55083;0,00595
3,50000;0,05850;78,75434;7,57617;0,00614
3,60000;0,06019;78,99897;7,59971;0,00632
3,70000;0,06137;79,82065;7,67875;0,00644
3,80000;0,06356;79,01778;7,60152;0,00667
3,90000;0,06537;79,10561;7,60997;0,00686
4,00000;0,06650;78,79199;7,57980;0,00698
4,10000;0,06831;79,25613;7,62445;0,00717
4,20000;0,07012;79,03660;7,60333;0,00736
4,30000;0,07194;79,00523;7,60031;0,00755
4,40000;0,07306;79,00523;7,60031;0,00767
4,50000;0,07512;79,36903;7,63531;0,00788
4,60000;0,07694;78,96761;7,59669;0,00807
4,70000;0,07825;79,21222;7,62022;0,00821
4,80000;0,07987;79,45057;7,64315;0,00838
4,90000;0,08181;79,11813;7,61117;0,00858
5,00000;0,08362;80,09037;7,70470;0,00877
5,10000;0,08475;81,07512;7,79943;0,00889
5,20000;0,08675;82,98194;7,98287;0,00910
5,30000;0,08862;83,15127;7,99916;0,00930
5,40000;0,08994;83,42727;8,02571;0,00944
5,50000;0,09144;83,98551;8,07941;0,00959
5,60000;0,09350;83,44608;8,02752;0,00981
5,70000;0,09537;83,52762;8,03537;0,01001
5,80000;0,09644;82,84394;7,96959;0,01012
5,90000;0,09831;82,96310;7,98106;0,01032
6,00000;0,10025;81,73999;7,86340;0,01052
6,10000;0,10175;81,31347;7,82236;0,01068
6,20000;0,10312;81,52046;7,84228;0,01082
6,30000;0,10525;81,15666;7,80728;0,01104
6,40000;0,10694;80,91205;7,78375;0,01122
6,50000;0,10819;80,97477;7,78978;0,01135
6,60000;0,10987;80,82422;7,77530;0,01153
6,70000;0,11187;80,68625;7,76202;0,01174
6,80000;0,11350;80,42906;7,73728;0,01191
6,90000;0,11475;80,58588;7,75237;0,01204
7,00000;0,11687;80,73014;7,76625;0,01226
7,10000;0,11850;80,96222;7,78857;0,01243
7,20000;0,11994;81,63336;7,85314;0,01259
7,30000;0,12150;83,22028;8,00580;0,01275
7,40000;0,12356;84,48730;8,12769;0,01297
7,50000;0,12525;86,21847;8,29422;0,01314
7,60000;0,12637;87,17815;8,38655;0,01326
7,70000;0,12850;88,42635;8,50662;0,01348
7,80000;0,13019;90,63422;8,71902;0,01366
7,90000;0,13175;91,62526;8,81436;0,01382
8,00000;0,13306;92,73547;8,92116;0,01396
8,10000;0,13525;94,10284;9,05270;0,01419
8,20000;0,13700;95,29460;9,16735;0,01438
8,30000;0,13812;96,66197;9,29889;0,01449
8,40000;0,14006;97,99800;9,42742;0,01470
8,50000;0,14187;99,59117;9,58068;0,01489
8,60000;0,14350;100,51948;9,66998;0,01506
8,70000;0,14469;101,93705;9,80635;0,01518
8,80000;0,14687;103,68077;9,97410;0,01541
8,90000;0,14862;106,17718;10,21425;0,01560
9,00000;0,14981;107,74527;10,36510;0,01572
9,10000;0,15162;109,90922;10,57328;0,01591
9,20000;0,15350;112,20493;10,79412;0,01611
9,30000;0,15525;115,32856;11,09462;0,01629
9,40000;0,15637;116,60184;11,21711;0,01641
9,50000;0,15850;119,41188;11,48743;0,01663
9,60000;0,16025;121,74521;11,71190;0,01682
9,70000;0,16156;124,55522;11,98222;0,01695
9,80000;0,16319;126,32404;12,15238;0,01712
9,90000;0,16519;129,17169;12,42633;0,01733
10,00000;0,16700;131,76219;12,67554;0,01752
10,10000;0,16806;133,50591;12,84328;0,01764
10,20000;0,17006;136,13403;13,09611;0,01784
10,30000;0,17187;139,22630;13,39358;0,01804
10,40000;0,17331;140,94494;13,55892;0,01819
10,50000;0,17475;142,72002;13,72968;0,01834
10,60000;0,17687;144,99689;13,94872;0,01856
10,70000;0,17869;146,37054;14,08086;0,01875
10,80000;0,17981;147,21104;14,16172;0,01887
10,90000;0,18162;148,81676;14,31619;0,01906
11,00000;0,18356;148,92339;14,32644;0,01926
11,10000;0,18506;149,19939;14,35300;0,01942
11,20000;0,18644;150,18415;14,44773;0,01956
11,30000;0,18856;150,86157;14,51290;0,01979
11,40000;0,19031;150,66084;14,49359;0,01997
11,50000;0,19156;151,19400;14,54488;0,02010
11,60000;0,19325;150,78629;14,50566;0,02028
11,70000;0,19519;151,98432;14,62091;0,02048
11,80000;0,19687;150,95565;14,52195;0,02066
11,90000;0,19806;151,60798;14,58470;0,02078
12,00000;0,20019;151,08737;14,53462;0,02101
12,10000;0,20194;151,23792;14,54910;0,02119
12,20000;0,20331;151,31945;14,55695;0,02133
12,30000;0,20481;151,95296;14,61789;0,02149
12,40000;0,20687;151,46998;14,57143;0,02171
12,50000;0,20862;151,31945;14,55695;0,02189
12,60000;0,20975;151,37589;14,56238;0,02201
12,70000;0,21181;151,81496;14,60461;0,02223
12,80000;0,21356;151,60798;14,58470;0,02241
12,90000;0,21506;151,20027;14,54548;0,02257
13,00000;0,21644;151,42607;14,56720;0,02271
13,10000;0,21856;151,35081;14,55996;0,02293
13,20000;0,22031;151,21282;14,54669;0,02312
13,30000;0,22144;152,10349;14,63237;0,02324
13,40000;0,22337;151,60171;14,58410;0,02344
13,50000;0,22512;152,01569;14,62392;0,02362
13,60000;0,22687;150,99954;14,52617;0,02381
13,70000;0,22812;152,31676;14,65289;0,02394
13,80000;0,23019;151,18772;14,54427;0,02415
13,90000;0,23194;151,54525;14,57867;0,02434
14,00000;0,23312;151,87142;14,61005;0,02446
14,10000;0,23494;152,15366;14,63720;0,02465
14,20000;0,23687;152,37948;14,65892;0,02486
14,30000;0,23856;152,46728;14,66737;0,02503
14,40000;0,23975;152,38575;14,65952;0,02516
14,50000;0,24181;152,42337;14,66314;0,02537
14,60000;0,24362;151,85259;14,60823;0,02556
14,70000;0,24487;152,71818;14,69150;0,02570
14,80000;0,24650;152,77464;14,69694;0,02587
14,90000;0,24850;152,42337;14,66314;0,02608
15,00000;0,25031;152,64919;14,68487;0,02627
15,10000;0,25144;152,79972;14,69935;0,02638
15,20000;0,25344;152,95653;14,71443;0,02659
15,30000;0,25525;153,07572;14,72590;0,02678
15,40000;0,25662;152,54882;14,67521;0,02693
15,50000;0,25812;152,93146;14,71202;0,02709
15,60000;0,26019;152,83737;14,70297;0,02730
15,70000;0,26200;152,71818;14,69150;0,02749
15,80000;0,26312;153,07572;14,72590;0,02761
15,90000;0,26500;153,16352;14,73435;0,02781
16,00000;0,26687;152,51746;14,67219;0,02800
16,10000;0,26837;152,64291;14,68426;0,02816
16,20000;0,26975;152,61783;14,68185;0,02831
16,30000;0,27187;152,86873;14,70599;0,02853
16,40000;0,27362;152,88126;14,70719;0,02871
16,50000;0,27487;152,92517;14,71142;0,02884
16,60000;0,27656;152,99418;14,71805;0,02902
16,70000;0,27856;152,31676;14,65289;0,02923
16,80000;0,28019;152,86244;14,70538;0,02940
16,90000;0,28137;153,30778;14,74822;0,02953
17,00000;0,28350;152,62410;14,68245;0,02975
17,10000;0,28525;152,55511;14,67582;0,02993
17,20000;0,28662;152,65546;14,68547;0,03008
17,30000;0,28812;153,38305;14,75546;0,03023
17,40000;0,29025;152,76836;14,69633;0,03046
17,50000;0,29194;152,90636;14,70961;0,03063
17,60000;0,29306;153,13216;14,73133;0,03075
17,70000;0,29512;152,89381;14,70840;0,03097
17,80000;0,29681;152,59273;14,67944;0,03115
17,90000;0,29837;152,78717;14,69814;0,03131
18,00000;0,29975;152,99418;14,71805;0,03145
18,10000;0,30187;153,05062;14,72348;0,03168
18,20000;0,30369;152,84363;14,70357;0,03187
18,30000;0,30475;153,39560;14,75667;0,03198
18,40000;0,30669;153,26389;14,74400;0,03218
18,50000;0,30850;153,05688;14,72409;0,03237
18,60000;0,31012;152,59902;14,68004;0,03254
18,70000;0,31137;153,40815;14,75788;0,03267
