Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,79894;0,07686;0,00000
0,10000;0,00069;0,29714;0,02858;0,00007
0,20000;0,00294;3,11343;0,29951;0,00031
0,30000;0,00481;3,80967;0,36649;0,00050
0,40000;0,00687;4,58744;0,44131;0,00072
0,50000;0,00831;4,59373;0,44192;0,00087
0,60000;0,00969;5,08295;0,48898;0,00102
0,70000;0,01181;5,03277;0,48415;0,00124
0,80000;0,01356;4,92616;0,47390;0,00142
0,90000;0,01481;5,65376;0,54389;0,00155
1,00000;0,01656;6,01127;0,57828;0,00174
1,10000;0,01856;5,62239;0,54087;0,00195
1,20000;0,02012;5,74156;0,55234;0,00211
1,30000;0,02137;5,73529;0,55174;0,00224
1,40000;0,02350;5,42167;0,52157;0,00247
1,50000;0,02525;5,85446;0,56320;0,00265
1,60000;0,02656;6,21199;0,59759;0,00279
1,70000;0,02812;6,51306;0,62656;0,00295
1,80000;0,03025;6,98350;0,67181;0,00317
1,90000;0,03187;6,83921;0,65793;0,00334
2,00000;0,03306;7,03367;0,67664;0,00347
2,10000;0,03512;6,73886;0,64828;0,00369
2,20000;0,03681;6,25590;0,60182;0,00386
2,30000;0,03837;5,92347;0,56984;0,00403
2,40000;0,03975;6,70750;0,64526;0,00417
2,50000;0,04194;5,99246;0,57647;0,00440
2,60000;0,04362;5,74156;0,55234;0,00458
2,70000;0,04469;6,23707;0,60001;0,00469
2,80000;0,04669;6,39388;0,61509;0,00490
2,90000;0,04844;5,73529;0,55174;0,00508
3,00000;0,05012;5,66002;0,54449;0,00526
3,10000;0,05137;5,97364;0,57467;0,00539
3,20000;0,05350;6,03637;0,58070;0,00561
3,30000;0,05531;5,53457;0,53243;0,00580
3,40000;0,05644;5,63492;0,54208;0,00592
3,50000;0,05825;5,75411;0,55355;0,00611
3,60000;0,06012;6,14927;0,59156;0,00631
3,70000;0,06187;5,90463;0,56803;0,00649
3,80000;0,06306;6,00500;0,57768;0,00662
3,90000;0,06512;5,92973;0,57044;0,00683
4,00000;0,06694;5,87327;0,56501;0,00702
4,10000;0,06819;6,26217;0,60242;0,00716
4,20000;0,06987;6,12417;0,58915;0,00733
4,30000;0,07181;5,98619;0,57587;0,00754
4,40000;0,07362;6,35625;0,61147;0,00773
4,50000;0,07469;6,70124;0,64466;0,00784
4,60000;0,07675;6,97721;0,67121;0,00805
4,70000;0,07862;7,84907;0,75508;0,00825
4,80000;0,07994;7,78008;0,74844;0,00839
4,90000;0,08150;9,42971;0,90714;0,00855
5,00000;0,08344;10,54620;1,01455;0,00876
5,10000;0,08531;11,31142;1,08816;0,00895
5,20000;0,08644;12,31502;1,18471;0,00907
5,30000;0,08831;13,43775;1,29271;0,00927
5,40000;0,09025;13,92073;1,33918;0,00947
5,50000;0,09162;15,18775;1,46106;0,00961
5,60000;0,09306;16,36697;1,57450;0,00977
5,70000;0,09512;17,70924;1,70363;0,00998
5,80000;0,09694;19,02017;1,82974;0,01017
5,90000;0,09812;20,08020;1,93172;0,01030
6,00000;0,09987;22,07481;2,12360;0,01048
6,10000;0,10187;24,43322;2,35048;0,01069
6,20000;0,10344;26,72893;2,57133;0,01085
6,30000;0,10475;28,56045;2,74752;0,01099
6,40000;0,10687;31,40811;3,02146;0,01121
6,50000;0,10850;33,74144;3,24593;0,01139
6,60000;0,10987;36,68319;3,52893;0,01153
6,70000;0,11144;38,50844;3,70452;0,01169
6,80000;0,11350;41,27456;3,97062;0,01191
6,90000;0,11519;43,95286;4,22827;0,01209
7,00000;0,11637;46,08547;4,43343;0,01221
7,10000;0,11850;49,19656;4,73271;0,01243
7,20000;0,12012;51,20372;4,92580;0,01260
7,30000;0,12169;53,91967;5,18708;0,01277
7,40000;0,12312;55,89547;5,37715;0,01292
7,50000;0,12519;59,00655;5,67644;0,01314
7,60000;0,12694;61,59705;5,92564;0,01332
7,70000;0,12806;64,13737;6,17002;0,01344
7,80000;0,13006;66,93485;6,43914;0,01365
7,90000;0,13181;69,94558;6,72877;0,01383
8,00000;0,13344;72,78069;7,00151;0,01400
8,10000;0,13469;74,32371;7,14995;0,01413
