Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,19025;0,01830;0,00000
0,10000;0,00062;0,34079;0,03278;0,00007
0,20000;0,00319;1,73952;0,16734;0,00033
0,30000;0,00494;2,04060;0,19631;0,00052
0,40000;0,00637;2,05941;0,19812;0,00067
0,50000;0,00850;2,17860;0,20958;0,00089
0,60000;0,01025;2,42949;0,23372;0,00108
0,70000;0,01137;3,70904;0,35681;0,00119
0,80000;0,01337;4,45547;0,42862;0,00140
0,90000;0,01512;4,63736;0,44611;0,00159
1,00000;0,01675;5,55939;0,53481;0,00176
1,10000;0,01800;5,75385;0,55352;0,00189
1,20000;0,02025;6,38736;0,61446;0,00212
1,30000;0,02200;6,51281;0,62653;0,00231
1,40000;0,02306;6,63197;0,63800;0,00242
1,50000;0,02487;7,17768;0,69049;0,00261
1,60000;0,02675;7,01458;0,67480;0,00281
1,70000;0,02850;7,36585;0,70860;0,00299
1,80000;0,02969;7,81119;0,75144;0,00312
1,90000;0,03181;7,95545;0,76532;0,00334
2,00000;0,03362;8,06835;0,77618;0,00353
2,10000;0,03481;7,96171;0,76592;0,00365
2,20000;0,03650;8,99038;0,86488;0,00383
2,30000;0,03844;8,56386;0,82384;0,00403
2,40000;0,04025;9,12838;0,87815;0,00422
2,50000;0,04137;8,92766;0,85884;0,00434
2,60000;0,04337;9,64899;0,92823;0,00455
2,70000;0,04525;10,32641;0,99340;0,00475
2,80000;0,04656;10,21978;0,98314;0,00489
2,90000;0,04812;11,04772;1,06279;0,00505
3,00000;0,05012;11,14809;1,07245;0,00526
3,10000;0,05194;10,75293;1,03443;0,00545
3,20000;0,05306;11,60598;1,11650;0,00557
3,30000;0,05500;12,05758;1,15994;0,00577
3,40000;0,05687;11,99485;1,15391;0,00597
3,50000;0,05837;12,49036;1,20157;0,00613
3,60000;0,05975;12,78517;1,22993;0,00627
3,70000;0,06181;12,99216;1,24985;0,00649
3,80000;0,06362;13,67584;1,31562;0,00668
3,90000;0,06481;13,71349;1,31924;0,00680
4,00000;0,06650;14,68570;1,41277;0,00698
4,10000;0,06850;14,71080;1,41518;0,00719
4,20000;0,07012;15,51993;1,49302;0,00736
4,30000;0,07137;15,84610;1,52440;0,00749
4,40000;0,07350;16,42315;1,57991;0,00771
4,50000;0,07525;16,61759;1,59861;0,00790
4,60000;0,07656;17,24483;1,65895;0,00803
4,70000;0,07812;18,81919;1,81041;0,00820
4,80000;0,08019;20,30574;1,95341;0,00841
4,90000;0,08187;21,96166;2,11271;0,00859
