Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,50631;0,04871;0,00000
0,10000;0,00075;0,98301;0,09457;0,00008
0,20000;0,00325;0,71330;0,06862;0,00034
0,30000;0,00487;-0,53491;-0,05146;0,00051
0,40000;0,00644;0,33695;0,03241;0,00068
0,50000;0,00850;-0,49728;-0,04784;0,00089
0,60000;0,01025;-0,10838;-0,01043;0,00108
0,70000;0,01137;0,09232;0,00888;0,00119
0,80000;0,01344;-0,27148;-0,02612;0,00141
0,90000;0,01519;-0,32166;-0,03094;0,00159
1,00000;0,01669;0,44359;0,04267;0,00175
1,10000;0,01812;1,02692;0,09879;0,00190
1,20000;0,02019;2,41939;0,23275;0,00212
1,30000;0,02200;3,35397;0,32265;0,00231
1,40000;0,02306;4,23209;0,40713;0,00242
1,50000;0,02506;4,87815;0,46928;0,00263
1,60000;0,02681;6,35216;0,61108;0,00281
1,70000;0,02844;7,59410;0,73055;0,00298
1,80000;0,02975;8,49103;0,81684;0,00312
1,90000;0,03187;9,54480;0,91821;0,00334
2,00000;0,03362;10,98118;1,05639;0,00353
2,10000;0,03481;11,84049;1,13906;0,00365
2,20000;0,03662;13,64066;1,31223;0,00384
2,30000;0,03850;14,70069;1,41421;0,00404
2,40000;0,04019;17,76160;1,70867;0,00422
2,50000;0,04137;19,78131;1,90296;0,00434
2,60000;0,04350;23,18721;2,23061;0,00456
2,70000;0,04525;26,26067;2,52628;0,00475
2,80000;0,04650;29,01424;2,79117;0,00488
2,90000;0,04825;31,26604;3,00780;0,00506
3,00000;0,05012;34,77857;3,34570;0,00526
3,10000;0,05194;37,28750;3,58706;0,00545
3,20000;0,05306;39,97209;3,84532;0,00557
3,30000;0,05512;42,53748;4,09211;0,00578
3,40000;0,05694;46,15036;4,43967;0,00597
3,50000;0,05825;48,84750;4,69913;0,00611
3,60000;0,05975;51,31254;4,93627;0,00627
3,70000;0,06181;54,76235;5,26814;0,00649
3,80000;0,06369;57,22737;5,50528;0,00668
3,90000;0,06481;59,88060;5,76052;0,00680
4,00000;0,06675;62,08848;5,97292;0,00700
4,10000;0,06862;64,72287;6,22635;0,00720
4,20000;0,07000;67,70226;6,51296;0,00735
4,30000;0,07137;68,81873;6,62037;0,00749
4,40000;0,07350;69,85995;6,72053;0,00771
4,50000;0,07531;70,24256;6,75734;0,00790
4,60000;0,07650;70,98897;6,82915;0,00803
4,70000;0,07825;71,22105;6,85147;0,00821
4,80000;0,08025;70,89488;6,82009;0,00842
4,90000;0,08175;71,18343;6,84785;0,00858
5,00000;0,08306;71,10815;6,84061;0,00872
5,10000;0,08519;70,80708;6,81165;0,00894
5,20000;0,08687;71,25868;6,85509;0,00912
5,30000;0,08825;70,97016;6,82734;0,00926
5,40000;0,08987;71,34650;6,86354;0,00943
5,50000;0,09194;71,02662;6,83277;0,00965
5,60000;0,09356;71,27749;6,85690;0,00982
5,70000;0,09469;71,81065;6,90819;0,00994
5,80000;0,09681;71,31514;6,86052;0,01016
5,90000;0,09850;71,16459;6,84604;0,01034
6,00000;0,10000;70,97642;6,82794;0,01049
6,10000;0,10144;71,03914;6,83397;0,01064
6,20000;0,10356;71,60367;6,88828;0,01087
6,30000;0,10525;71,89219;6,91604;0,01104
6,40000;0,10644;71,55349;6,88345;0,01117
6,50000;0,10837;71,49703;6,87802;0,01137
6,60000;0,11019;70,58126;6,78992;0,01156
6,70000;0,11175;71,47822;6,87621;0,01173
6,80000;0,11306;71,38413;6,86716;0,01186
6,90000;0,11525;71,34022;6,86294;0,01209
7,00000;0,11700;71,60993;6,88888;0,01228
7,10000;0,11812;71,15833;6,84544;0,01240
7,20000;0,12000;72,01137;6,92750;0,01259
7,30000;0,12175;70,88862;6,81949;0,01278
7,40000;0,12350;70,97016;6,82734;0,01296
7,50000;0,12469;71,77303;6,90457;0,01308
7,60000;0,12687;71,69149;6,89673;0,01331
7,70000;0,12862;71,65384;6,89311;0,01350
7,80000;0,12987;71,67894;6,89552;0,01363
