Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,37777;0,03634;0,00000
0,10000;0,00050;0,07669;0,00738;0,00005
0,20000;0,00294;1,45661;0,14013;0,00031
0,30000;0,00456;1,64479;0,15823;0,00048
0,40000;0,00662;1,40017;0,13470;0,00070
0,50000;0,00844;1,45661;0,14013;0,00089
0,60000;0,01000;0,93603;0,09005;0,00105
0,70000;0,01131;1,58835;0,15280;0,00119
0,80000;0,01344;1,85806;0,17875;0,00141
0,90000;0,01519;1,59461;0,15340;0,00159
1,00000;0,01631;2,30339;0,22159;0,00171
1,10000;0,01825;2,16539;0,20831;0,00192
1,20000;0,02000;2,57310;0,24753;0,00210
1,30000;0,02175;2,32849;0,22400;0,00228
1,40000;0,02300;3,57667;0,34408;0,00241
1,50000;0,02506;3,53279;0,33985;0,00263
1,60000;0,02687;4,02203;0,38692;0,00282
1,70000;0,02806;4,56145;0,43881;0,00294
1,80000;0,02981;5,45839;0,52510;0,00313
1,90000;0,03175;5,32041;0,51182;0,00333
2,00000;0,03350;5,65911;0,54441;0,00352
2,10000;0,03462;7,02022;0,67535;0,00363
2,20000;0,03675;7,08294;0,68138;0,00386
2,30000;0,03856;7,21465;0,69405;0,00405
2,40000;0,03981;7,90462;0,76043;0,00418
2,50000;0,04144;8,77648;0,84430;0,00435
2,60000;0,04344;8,85176;0,85154;0,00456
2,70000;0,04525;9,67970;0,93119;0,00475
2,80000;0,04637;10,46376;1,00661;0,00487
2,90000;0,04837;11,19135;1,07661;0,00508
3,00000;0,05019;12,02556;1,15686;0,00527
3,10000;0,05156;11,96284;1,15083;0,00541
3,20000;0,05300;13,33649;1,28297;0,00556
3,30000;0,05506;13,73794;1,32159;0,00578
3,40000;0,05687;14,62232;1,40667;0,00597
3,50000;0,05806;15,38757;1,48029;0,00609
3,60000;0,05987;16,12143;1,55088;0,00628
3,70000;0,06175;16,67968;1,60459;0,00648
3,80000;0,06331;17,20656;1,65527;0,00664
3,90000;0,06462;18,39830;1,76992;0,00678
4,00000;0,06675;18,56766;1,78621;0,00700
4,10000;0,06844;19,78450;1,90327;0,00718
4,20000;0,06981;20,17338;1,94068;0,00733
4,30000;0,07144;21,11425;2,03119;0,00750
4,40000;0,07356;21,67248;2,08489;0,00772
4,50000;0,07506;22,35617;2,15067;0,00788
4,60000;0,07625;22,75133;2,18868;0,00800
4,70000;0,07837;23,07121;2,21945;0,00822
4,80000;0,08012;24,48878;2,35582;0,00841
4,90000;0,08156;25,18501;2,42280;0,00856
5,00000;0,08306;25,49237;2,45237;0,00872
5,10000;0,08512;26,35794;2,53564;0,00893
5,20000;0,08687;26,82211;2,58029;0,00912
5,30000;0,08800;27,55597;2,65089;0,00923
5,40000;0,09000;28,28983;2,72148;0,00944
5,50000;0,09175;28,59090;2,75045;0,00963
5,60000;0,09331;29,44395;2,83251;0,00979
5,70000;0,09462;30,32836;2,91759;0,00993
5,80000;0,09681;30,64198;2,94776;0,01016
5,90000;0,09856;31,07477;2,98940;0,01034
6,00000;0,09969;32,25398;3,10284;0,01046
6,10000;0,10156;32,10343;3,08835;0,01066
6,20000;0,10337;32,47978;3,12456;0,01085
6,30000;0,10506;33,94124;3,26515;0,01102
6,40000;0,10631;34,47440;3,31644;0,01116
6,50000;0,10844;35,16437;3,38282;0,01138
6,60000;0,11019;34,81312;3,34903;0,01156
6,70000;0,11137;35,76651;3,44074;0,01169
6,80000;0,11312;36,65092;3,52582;0,01187
6,90000;0,11500;36,42510;3,50410;0,01207
7,00000;0,11681;37,52904;3,61030;0,01226
7,10000;0,11794;37,91794;3,64771;0,01238
7,20000;0,12006;38,34446;3,68874;0,01260
7,30000;0,12187;38,65808;3,71891;0,01279
7,40000;0,12312;39,15986;3,76718;0,01292
7,50000;0,12475;39,72438;3,82149;0,01309
7,60000;0,12669;39,69301;3,81847;0,01329
7,70000;0,12856;40,65270;3,91079;0,01349
7,80000;0,12962;41,04157;3,94820;0,01360
7,90000;0,13162;41,37401;3,98018;0,01381
8,00000;0,13350;41,76917;4,01820;0,01401
