Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,81214;0,07813;0,00000
0,10000;0,00087;1,00657;0,09683;0,00009
0,20000;0,00262;5,33452;0,51318;0,00028
0,30000;0,00500;5,81748;0,55964;0,00052
0,40000;0,00687;6,14992;0,59162;0,00072
0,50000;0,00806;7,71803;0,74248;0,00085
0,60000;0,00994;9,41157;0,90539;0,00104
0,70000;0,01194;10,45906;1,00616;0,00125
0,80000;0,01331;11,56926;1,11296;0,00140
0,90000;0,01469;12,52266;1,20468;0,00154
1,00000;0,01681;13,32553;1,28192;0,00176
1,10000;0,01862;14,09703;1,35614;0,00195
1,20000;0,01981;14,85599;1,42915;0,00208
1,30000;0,02156;16,48681;1,58603;0,00226
1,40000;0,02356;17,48411;1,68197;0,00247
1,50000;0,02512;18,16154;1,74714;0,00264
1,60000;0,02637;18,97693;1,82558;0,00277
1,70000;0,02850;20,80221;2,00117;0,00299
1,80000;0,03025;21,66778;2,08444;0,00317
1,90000;0,03156;22,77798;2,19124;0,00331
2,00000;0,03319;23,80665;2,29020;0,00348
2,10000;0,03525;24,89178;2,39459;0,00370
2,20000;0,03694;25,92045;2,49355;0,00388
2,30000;0,03806;26,57906;2,55691;0,00399
2,40000;0,04012;28,24124;2,71681;0,00421
2,50000;0,04181;28,13460;2,70655;0,00439
2,60000;0,04331;29,34516;2,82301;0,00454
2,70000;0,04475;29,94731;2,88093;0,00470
2,80000;0,04687;30,43029;2,92740;0,00492
2,90000;0,04862;30,93835;2,97627;0,00510
3,00000;0,04975;31,82902;3,06195;0,00522
3,10000;0,05175;33,88636;3,25987;0,00543
3,20000;0,05344;35,14085;3,38055;0,00561
3,30000;0,05512;36,53958;3,51511;0,00578
3,40000;0,05637;38,00106;3,65571;0,00592
3,50000;0,05850;40,21518;3,86870;0,00614
3,60000;0,06031;41,55748;3,99783;0,00633
3,70000;0,06144;42,57360;4,09558;0,00645
3,80000;0,06331;43,93472;4,22652;0,00664
3,90000;0,06512;45,36482;4,36410;0,00683
4,00000;0,06687;46,63183;4,48599;0,00702
4,10000;0,06806;47,03954;4,52521;0,00714
4,20000;0,07012;48,65155;4,68028;0,00736
4,30000;0,07194;50,11300;4,82088;0,00755
4,40000;0,07319;50,75906;4,88303;0,00768
4,50000;0,07494;51,99471;5,00190;0,00786
4,60000;0,07681;53,38718;5,13585;0,00806
4,70000;0,07862;54,61029;5,25351;0,00825
4,80000;0,07975;55,53234;5,34222;0,00837
4,90000;0,08175;57,16316;5,49910;0,00858
5,00000;0,08356;58,26082;5,60470;0,00877
5,10000;0,08494;59,99827;5,77184;0,00891
