Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,23639;0,02274;0,00000
0,10000;0,00081;1,32779;0,12773;0,00009
0,20000;0,00269;4,46397;0,42943;0,00028
0,30000;0,00500;5,79371;0,55736;0,00052
0,40000;0,00694;5,59927;0,53865;0,00073
0,50000;0,00812;6,15125;0,59175;0,00085
0,60000;0,00994;6,38959;0,61468;0,00104
0,70000;0,01181;6,20142;0,59658;0,00124
0,80000;0,01356;5,66826;0,54529;0,00142
0,90000;0,01469;5,98815;0,57606;0,00154
1,00000;0,01681;6,37705;0,61347;0,00176
1,10000;0,01862;6,32687;0,60865;0,00195
1,20000;0,01987;6,24533;0,60080;0,00209
1,30000;0,02150;7,00429;0,67381;0,00226
1,40000;0,02350;6,85374;0,65933;0,00247
1,50000;0,02531;6,79728;0,65390;0,00266
1,60000;0,02637;7,21128;0,69373;0,00277
1,70000;0,02844;7,28653;0,70096;0,00298
1,80000;0,03025;7,23009;0,69554;0,00317
1,90000;0,03162;6,57148;0,63218;0,00332
2,00000;0,03312;6,92902;0,66657;0,00348
2,10000;0,03519;6,40212;0,61588;0,00369
2,20000;0,03700;6,13241;0,58994;0,00388
2,30000;0,03812;6,05716;0,58270;0,00400
2,40000;0,04000;6,20768;0,59718;0,00420
2,50000;0,04187;5,85644;0,56339;0,00439
2,60000;0,04337;5,49890;0,52899;0,00455
2,70000;0,04475;5,94426;0,57184;0,00470
2,80000;0,04687;6,22650;0,59899;0,00492
2,90000;0,04862;6,01325;0,57847;0,00510
3,00000;0,04981;5,35464;0,51512;0,00523
3,10000;0,05156;6,30806;0,60684;0,00541
3,20000;0,05350;5,93797;0,57123;0,00561
3,30000;0,05512;5,93797;0,57123;0,00578
3,40000;0,05637;6,18887;0,59537;0,00592
3,50000;0,05850;6,39586;0,61528;0,00614
3,60000;0,06025;6,12615;0,58934;0,00632
3,70000;0,06162;6,62794;0,63761;0,00647
3,80000;0,06319;7,47470;0,71907;0,00663
3,90000;0,06519;7,16737;0,68950;0,00684
4,00000;0,06687;7,51861;0,72329;0,00702
4,10000;0,06806;7,87615;0,75769;0,00714
4,20000;0,07012;8,35285;0,80354;0,00736
4,30000;0,07187;8,40928;0,80897;0,00754
4,40000;0,07331;8,61627;0,82889;0,00769
4,50000;0,07475;9,70766;0,93388;0,00784
4,60000;0,07687;9,81430;0,94414;0,00807
4,70000;0,07862;10,78025;1,03706;0,00825
4,80000;0,07975;11,09387;1,06723;0,00837
4,90000;0,08175;12,02845;1,15714;0,00858
5,00000;0,08350;12,81877;1,23317;0,00876
5,10000;0,08512;13,74709;1,32247;0,00893
5,20000;0,08637;14,85730;1,42927;0,00906
5,30000;0,08856;16,33756;1,57168;0,00929
5,40000;0,09031;17,32861;1,66701;0,00948
5,50000;0,09144;18,72734;1,80157;0,00959
5,60000;0,09325;20,11354;1,93492;0,00978
5,70000;0,09512;22,28378;2,14370;0,00998
5,80000;0,09687;23,29363;2,24085;0,01017
5,90000;0,09806;24,97463;2,40256;0,01029
6,00000;0,10019;27,13234;2,61013;0,01051
6,10000;0,10200;29,10185;2,79960;0,01070
6,20000;0,10312;30,71385;2,95468;0,01082
6,30000;0,10481;33,19145;3,19302;0,01100
6,40000;0,10681;36,05792;3,46878;0,01121
6,50000;0,10862;37,75773;3,63230;0,01140
6,60000;0,10975;39,83388;3,83202;0,01152
6,70000;0,11175;42,96380;4,13312;0,01173
6,80000;0,11362;44,83296;4,31294;0,01192
6,90000;0,11487;46,70213;4,49275;0,01205
7,00000;0,11644;48,47094;4,66291;0,01222
7,10000;0,11844;51,14297;4,91996;0,01243
7,20000;0,12031;53,02469;5,10098;0,01262
7,30000;0,12144;54,76214;5,26812;0,01274
7,40000;0,12337;57,08919;5,49199;0,01295
7,50000;0,12531;58,89563;5,66577;0,01315
7,60000;0,12669;60,70207;5,83954;0,01329
7,70000;0,12806;62,43326;6,00609;0,01344
7,80000;0,13012;64,80422;6,23417;0,01365
7,90000;0,13194;66,42248;6,38985;0,01384
8,00000;0,13312;67,40098;6,48398;0,01397
8,10000;0,13487;69,08197;6,64569;0,01415
8,20000;0,13687;70,80687;6,81163;0,01436
8,30000;0,13844;72,59450;6,98360;0,01453
8,40000;0,13969;73,32836;7,05419;0,01466
8,50000;0,14181;75,93140;7,30461;0,01488
8,60000;0,14356;76,33911;7,34383;0,01506
8,70000;0,14494;77,07924;7,41503;0,01521
8,80000;0,14650;77,96364;7,50011;0,01537
8,90000;0,14856;78,07028;7,51037;0,01559
9,00000;0,15025;78,37135;7,53933;0,01577
9,10000;0,15137;78,48425;7,55019;0,01588
9,20000;0,15350;78,42153;7,54416;0,01611
9,30000;0,15512;78,39645;7,54175;0,01628
9,40000;0,15669;78,72260;7,57312;0,01644
9,50000;0,15806;78,59089;7,56045;0,01659
9,60000;0,16019;78,40898;7,54295;0,01681
9,70000;0,16200;78,91078;7,59122;0,01700
9,80000;0,16306;78,67869;7,56890;0,01711
9,90000;0,16506;78,79161;7,57976;0,01732
10,00000;0,16681;78,90451;7,59062;0,01750
10,10000;0,16844;78,64733;7,56588;0,01767
10,20000;0,16969;79,21814;7,62079;0,01781
10,30000;0,17187;78,60344;7,56166;0,01804
10,40000;0,17369;78,97350;7,59726;0,01823
10,50000;0,17475;78,86060;7,58640;0,01834
10,60000;0,17669;78,97350;7,59726;0,01854
10,70000;0,17844;79,10521;7,60993;0,01872
10,80000;0,18019;78,82924;7,58338;0,01891
10,90000;0,18137;79,22440;7,62139;0,01903
11,00000;0,18344;78,96095;7,59605;0,01925
11,10000;0,18525;78,91706;7,59183;0,01944
11,20000;0,18650;79,09269;7,60872;0,01957
11,30000;0,18825;79,24321;7,62320;0,01975
11,40000;0,19012;78,94214;7,59424;0,01995
11,50000;0,19194;79,29339;7,62803;0,02014
11,60000;0,19306;79,60701;7,65820;0,02026
11,70000;0,19506;79,83281;7,67992;0,02047
11,80000;0,19687;79,54428;7,65217;0,02066
11,90000;0,19825;79,49411;7,64734;0,02080
12,00000;0,19981;79,77637;7,67449;0,02097
12,10000;0,20181;79,44393;7,64251;0,02118
12,20000;0,20362;79,80145;7,67691;0,02137
12,30000;0,20475;79,97081;7,69320;0,02148
12,40000;0,20669;80,01472;7,69742;0,02169
12,50000;0,20856;79,73246;7,67027;0,02188
12,60000;0,21006;79,40002;7,63829;0,02204
12,70000;0,21144;80,19034;7,71432;0,02219
12,80000;0,21356;79,42512;7,64070;0,02241
12,90000;0,21531;79,77008;7,67389;0,02259
13,00000;0,21650;79,80773;7,67751;0,02272
13,10000;0,21825;79,85791;7,68234;0,02290
13,20000;0,22025;80,02098;7,69803;0,02311
13,30000;0,22175;79,61956;7,65941;0,02327
13,40000;0,22306;79,52547;7,65036;0,02341
13,50000;0,22519;79,52547;7,65036;0,02363
13,60000;0,22694;79,62582;7,66001;0,02381
13,70000;0,22819;79,58820;7,65639;0,02394
13,80000;0,22975;80,14017;7,70949;0,02411
13,90000;0,23187;79,41884;7,64010;0,02433
14,00000;0,23356;79,63211;7,66062;0,02451
14,10000;0,23475;80,12762;7,70828;0,02463
14,20000;0,23681;80,04608;7,70044;0,02485
14,30000;0,23856;79,31849;7,63045;0,02503
14,40000;0,24000;79,44393;7,64251;0,02518
14,50000;0,24144;79,51921;7,64976;0,02533
14,60000;0,24356;79,61956;7,65941;0,02556
14,70000;0,24525;79,56938;7,65458;0,02573
14,80000;0,24644;80,08999;7,70467;0,02586
14,90000;0,24844;79,88927;7,68536;0,02607
15,00000;0,25019;79,32475;7,63105;0,02625
15,10000;0,25175;79,56938;7,65458;0,02642
15,20000;0,25300;79,93944;7,69018;0,02655
15,30000;0,25519;79,63837;7,66122;0,02678
15,40000;0,25694;79,72619;7,66967;0,02696
15,50000;0,25812;80,19034;7,71432;0,02709
15,60000;0,26000;79,76382;7,67329;0,02728
15,70000;0,26181;79,73246;7,67027;0,02747
15,80000;0,26356;79,50037;7,64794;0,02766
15,90000;0,26469;79,85791;7,68234;0,02777
16,00000;0,26681;79,63837;7,66122;0,02800
