Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,63835;0,06141;0,00000
0,10000;0,00069;1,02096;0,09822;0,00007
0,20000;0,00287;6,31486;0,60749;0,00030
0,30000;0,00475;9,93400;0,95565;0,00050
0,40000;0,00681;11,94116;1,14874;0,00071
0,50000;0,00850;14,36858;1,38226;0,00089
0,60000;0,00969;15,26552;1,46854;0,00102
0,70000;0,01187;16,82735;1,61879;0,00125
0,80000;0,01362;17,81210;1,71353;0,00143
0,90000;0,01481;17,77448;1,70991;0,00155
1,00000;0,01656;19,01640;1,82938;0,00174
1,10000;0,01844;18,27627;1,75818;0,00193
1,20000;0,02025;18,55851;1,78533;0,00212
1,30000;0,02137;18,38289;1,76844;0,00224
1,40000;0,02350;18,78433;1,80705;0,00247
1,50000;0,02531;18,53344;1,78292;0,00266
1,60000;0,02650;18,77805;1,80645;0,00278
1,70000;0,02819;19,71892;1,89696;0,00296
1,80000;0,03012;19,09167;1,83662;0,00316
1,90000;0,03200;19,33631;1,86015;0,00336
2,00000;0,03306;20,23324;1,94644;0,00347
2,10000;0,03506;20,78521;1,99954;0,00368
2,20000;0,03694;21,33092;2,05204;0,00388
2,30000;0,03831;21,75116;2,09246;0,00402
2,40000;0,03981;22,73591;2,18720;0,00418
2,50000;0,04181;23,23771;2,23547;0,00439
2,60000;0,04362;24,28519;2,33624;0,00458
2,70000;0,04481;24,60510;2,36701;0,00470
2,80000;0,04662;26,32372;2,53234;0,00489
2,90000;0,04856;26,44290;2,54381;0,00510
3,00000;0,05006;27,67227;2,66208;0,00525
3,10000;0,05144;28,25561;2,71819;0,00540
3,20000;0,05350;28,76995;2,76767;0,00561
3,30000;0,05525;29,44109;2,83224;0,00580
3,40000;0,05656;29,93662;2,87991;0,00594
3,50000;0,05819;30,45094;2,92938;0,00611
3,60000;0,06019;30,70810;2,95412;0,00632
3,70000;0,06187;31,45454;3,02593;0,00649
3,80000;0,06306;31,51724;3,03196;0,00662
3,90000;0,06519;32,01903;3,08023;0,00684
4,00000;0,06687;32,31384;3,10859;0,00702
4,10000;0,06825;33,25469;3,19910;0,00716
4,20000;0,06981;34,09518;3,27996;0,00733
4,30000;0,07187;34,29591;3,29927;0,00754
4,40000;0,07362;36,98049;3,55753;0,00773
4,50000;0,07475;38,15342;3,67036;0,00784
4,60000;0,07681;39,98496;3,84656;0,00806
4,70000;0,07856;40,34876;3,88155;0,00824
4,80000;0,08006;40,44911;3,89121;0,00840
4,90000;0,08137;40,95091;3,93948;0,00854
5,00000;0,08356;42,06738;4,04689;0,00877
5,10000;0,08531;41,79766;4,02094;0,00895
5,20000;0,08644;41,47151;3,98956;0,00907
5,30000;0,08844;42,39355;4,07826;0,00928
5,40000;0,09012;42,66326;4,10421;0,00946
5,50000;0,09181;42,43746;4,08249;0,00963
5,60000;0,09300;42,28065;4,06740;0,00976
5,70000;0,09519;43,19642;4,15550;0,00999
5,80000;0,09694;42,90787;4,12774;0,01017
5,90000;0,09812;42,32456;4,07163;0,01030
6,00000;0,09994;43,30932;4,16636;0,01049
6,10000;0,10175;42,52526;4,09093;0,01068
6,20000;0,10356;44,93385;4,32264;0,01087
6,30000;0,10475;46,50196;4,47349;0,01099
6,40000;0,10681;49,82003;4,79269;0,01121
6,50000;0,10856;52,42308;5,04311;0,01139
6,60000;0,10987;54,78149;5,26998;0,01153
6,70000;0,11150;56,80118;5,46428;0,01170
6,80000;0,11350;60,05028;5,77684;0,01191
6,90000;0,11531;62,04490;5,96873;0,01210
7,00000;0,11637;64,12105;6,16845;0,01221
7,10000;0,11837;66,86207;6,43214;0,01242
7,20000;0,12025;69,37103;6,67350;0,01262
7,30000;0,12162;71,36564;6,86538;0,01276
7,40000;0,12312;74,04394;7,12303;0,01292
7,50000;0,12519;76,28319;7,33845;0,01314
7,60000;0,12700;78,62279;7,56352;0,01333
7,70000;0,12812;80,64248;7,75781;0,01344
7,80000;0,12994;83,52150;8,03478;0,01363
7,90000;0,13187;85,23385;8,19950;0,01384
8,00000;0,13344;86,58243;8,32924;0,01400
8,10000;0,13475;86,98385;8,36786;0,01414
8,20000;0,13687;86,80196;8,35036;0,01436
8,30000;0,13862;86,24371;8,29665;0,01455
8,40000;0,13987;87,28493;8,39682;0,01468
8,50000;0,14156;87,76162;8,44268;0,01485
8,60000;0,14350;86,99012;8,36846;0,01506
8,70000;0,14519;87,16576;8,38535;0,01523
8,80000;0,14644;87,42292;8,41009;0,01537
8,90000;0,14850;86,88350;8,35820;0,01558
