Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,68725;0,06611;0,00000
0,10000;0,00062;0,63705;0,06128;0,00007
0,20000;0,00319;2,50624;0,24110;0,00033
0,30000;0,00512;4,40048;0,42333;0,00054
0,40000;0,00637;6,81535;0,65564;0,00067
0,50000;0,00819;10,34043;0,99475;0,00086
0,60000;0,01012;13,39507;1,28861;0,00106
0,70000;0,01169;16,23018;1,56135;0,00123
0,80000;0,01306;19,02767;1,83046;0,00137
0,90000;0,01512;22,03840;2,12010;0,00159
1,00000;0,01687;24,61635;2,36809;0,00177
1,10000;0,01819;27,87798;2,68186;0,00191
1,20000;0,01987;30,48729;2,93288;0,00209
1,30000;0,02181;33,67364;3,23941;0,00229
1,40000;0,02344;36,01953;3,46508;0,00246
1,50000;0,02469;38,46574;3,70041;0,00259
1,60000;0,02681;41,55175;3,99728;0,00281
1,70000;0,02850;44,22378;4,25433;0,00299
1,80000;0,02987;47,09025;4,53009;0,00313
1,90000;0,03137;49,56159;4,76783;0,00329
2,00000;0,03350;52,92357;5,09125;0,00352
2,10000;0,03519;55,50778;5,33985;0,00369
2,20000;0,03637;58,04810;5,58423;0,00382
2,30000;0,03844;60,97730;5,86602;0,00403
2,40000;0,04019;64,03194;6,15988;0,00422
2,50000;0,04169;66,15201;6,36383;0,00437
2,60000;0,04300;67,95845;6,53761;0,00451
2,70000;0,04519;68,61079;6,60036;0,00474
2,80000;0,04694;68,79268;6,61786;0,00493
2,90000;0,04806;68,83659;6,62209;0,00504
3,00000;0,05000;69,41992;6,67820;0,00525
3,10000;0,05175;69,13138;6,65044;0,00543
3,20000;0,05344;69,06865;6,64441;0,00561
3,30000;0,05469;69,28819;6,66553;0,00574
3,40000;0,05681;69,43874;6,68001;0,00596
3,50000;0,05856;69,40109;6,67639;0,00615
3,60000;0,05975;69,39482;6,67579;0,00627
3,70000;0,06156;69,82135;6,71682;0,00646
3,80000;0,06350;69,57673;6,69329;0,00666
3,90000;0,06519;69,99071;6,73311;0,00684
4,00000;0,06631;69,95306;6,72949;0,00696
4,10000;0,06837;70,10987;6,74458;0,00717
4,20000;0,07019;69,83390;6,71803;0,00736
4,30000;0,07150;69,66454;6,70174;0,00750
4,40000;0,07312;70,12242;6,74578;0,00767
4,50000;0,07512;69,64572;6,69993;0,00788
4,60000;0,07694;69,31329;6,66794;0,00807
4,70000;0,07800;70,21024;6,75423;0,00818
4,80000;0,08000;70,04715;6,73854;0,00839
4,90000;0,08187;70,27297;6,76027;0,00859
5,00000;0,08325;69,28819;6,66553;0,00874
5,10000;0,08475;70,15378;6,74880;0,00889
5,20000;0,08681;69,62691;6,69812;0,00911
5,30000;0,08862;70,24161;6,75725;0,00930
5,40000;0,08975;70,65558;6,79707;0,00942
5,50000;0,09156;70,96920;6,82724;0,00961
5,60000;0,09344;70,46112;6,77837;0,00980
5,70000;0,09500;70,19769;6,75303;0,00997
5,80000;0,09637;70,85002;6,81578;0,01011
5,90000;0,09850;71,15735;6,84534;0,01034
6,00000;0,10025;70,41723;6,77414;0,01052
6,10000;0,10150;70,81865;6,81276;0,01065
6,20000;0,10319;71,05700;6,83569;0,01083
6,30000;0,10512;70,77474;6,80854;0,01103
6,40000;0,10681;70,59912;6,79164;0,01121
6,50000;0,10800;71,11346;6,84112;0,01133
6,60000;0,11012;70,68694;6,80009;0,01156
6,70000;0,11187;70,64929;6,79647;0,01174
6,80000;0,11325;70,37958;6,77052;0,01188
6,90000;0,11475;71,26399;6,85560;0,01204
7,00000;0,11681;70,19141;6,75242;0,01226
7,10000;0,11856;70,26042;6,75906;0,01244
7,20000;0,11969;71,00056;6,83026;0,01256
7,30000;0,12175;70,59285;6,79104;0,01278
7,40000;0,12344;70,63048;6,79466;0,01295
7,50000;0,12506;70,71830;6,80311;0,01312
7,60000;0,12637;70,86883;6,81759;0,01326
7,70000;0,12850;70,43604;6,77595;0,01348
7,80000;0,13025;70,34822;6,76751;0,01367
7,90000;0,13137;71,44590;6,87310;0,01379
8,00000;0,13331;70,98801;6,82905;0,01399
8,10000;0,13512;70,20396;6,75363;0,01418
8,20000;0,13675;70,34822;6,76751;0,01435
8,30000;0,13800;71,11346;6,84112;0,01448
8,40000;0,14012;70,50503;6,78259;0,01470
8,50000;0,14194;70,80610;6,81155;0,01489
8,60000;0,14306;70,35451;6,76811;0,01501
8,70000;0,14487;70,90648;6,82121;0,01520
8,80000;0,14675;70,63048;6,79466;0,01540
8,90000;0,14856;70,86257;6,81699;0,01559
9,00000;0,14969;70,93155;6,82362;0,01571
9,10000;0,15181;70,91274;6,82181;0,01593
9,20000;0,15356;70,56776;6,78862;0,01611
9,30000;0,15481;70,80610;6,81155;0,01624
9,40000;0,15644;71,15735;6,84534;0,01642
9,50000;0,15844;70,77474;6,80854;0,01663
9,60000;0,16031;70,44859;6,77716;0,01682
9,70000;0,16137;71,20755;6,85017;0,01693
9,80000;0,16337;70,49248;6,78138;0,01714
9,90000;0,16525;70,77474;6,80854;0,01734
10,00000;0,16656;70,44859;6,77716;0,01748
10,10000;0,16806;70,64929;6,79647;0,01764
10,20000;0,17012;70,54268;6,78621;0,01785
10,30000;0,17194;70,68694;6,80009;0,01804
10,40000;0,17306;71,09465;6,83931;0,01816
10,50000;0,17494;71,32045;6,86103;0,01836
10,60000;0,17687;70,42349;6,77475;0,01856
10,70000;0,17831;70,37332;6,76992;0,01871
10,80000;0,17969;71,27654;6,85681;0,01885
10,90000;0,18181;70,78103;6,80914;0,01908
11,00000;0,18356;70,71202;6,80250;0,01926
11,10000;0,18481;70,67439;6,79888;0,01939
11,20000;0,18650;71,35181;6,86405;0,01957
11,30000;0,18856;70,63677;6,79526;0,01979
11,40000;0,19012;71,04445;6,83448;0,01995
11,50000;0,19131;70,99428;6,82966;0,02007
11,60000;0,19344;70,65558;6,79707;0,02030
11,70000;0,19519;70,61793;6,79345;0,02048
11,80000;0,19656;70,42978;6,77535;0,02063
11,90000;0,19806;71,01309;6,83147;0,02078
12,00000;0,20019;70,73085;6,80432;0,02101
12,10000;0,20187;70,59912;6,79164;0,02118
12,20000;0,20300;71,07581;6,83750;0,02130
12,30000;0,20506;70,85002;6,81578;0,02152
12,40000;0,20681;70,64303;6,79587;0,02170
12,50000;0,20831;70,63677;6,79526;0,02186
12,60000;0,20969;70,76848;6,80793;0,02200
12,70000;0,21187;70,66813;6,79828;0,02223
12,80000;0,21362;70,31059;6,76389;0,02242
12,90000;0,21469;70,95665;6,82604;0,02253
13,00000;0,21669;70,76222;6,80733;0,02274
13,10000;0,21837;70,62422;6,79406;0,02291
13,20000;0,22012;70,60540;6,79225;0,02310
13,30000;0,22131;71,22636;6,85198;0,02322
13,40000;0,22350;70,85628;6,81638;0,02345
13,50000;0,22525;70,80610;6,81155;0,02364
13,60000;0,22644;70,64303;6,79587;0,02376
13,70000;0,22825;71,15109;6,84474;0,02395
13,80000;0,23006;70,75593;6,80673;0,02414
13,90000;0,23187;71,08836;6,83871;0,02433
14,00000;0,23300;71,30790;6,85983;0,02445
14,10000;0,23512;71,10718;6,84052;0,02467
14,20000;0,23694;70,60540;6,79225;0,02486
14,30000;0,23812;71,36436;6,86526;0,02499
14,40000;0,23981;71,26399;6,85560;0,02516
14,50000;0,24175;70,65558;6,79707;0,02537
14,60000;0,24362;71,19500;6,84897;0,02556
14,70000;0,24469;70,98801;6,82905;0,02568
14,80000;0,24669;70,96292;6,82664;0,02589
14,90000;0,24856;70,82492;6,81336;0,02608
15,00000;0,24994;70,70575;6,80190;0,02623
15,10000;0,25144;70,99428;6,82966;0,02638
15,20000;0,25344;70,75593;6,80673;0,02659
15,30000;0,25525;70,99428;6,82966;0,02678
15,40000;0,25644;71,24518;6,85379;0,02691
15,50000;0,25825;71,17619;6,84716;0,02710
15,60000;0,26019;71,30790;6,85983;0,02730
15,70000;0,26169;71,03193;6,83328;0,02746
15,80000;0,26306;71,14483;6,84414;0,02760
15,90000;0,26512;71,11346;6,84112;0,02782
16,00000;0,26687;70,74967;6,80612;0,02800
16,10000;0,26812;71,32045;6,86103;0,02813
16,20000;0,26981;71,72816;6,90026;0,02831
16,30000;0,27181;70,92529;6,82302;0,02852
16,40000;0,27350;71,30790;6,85983;0,02870
16,50000;0,27469;71,60271;6,88819;0,02882
16,60000;0,27681;71,11973;6,84172;0,02905
16,70000;0,27850;70,54268;6,78621;0,02922
16,80000;0,27987;71,05074;6,83509;0,02937
16,90000;0,28137;71,40199;6,86888;0,02953
17,00000;0,28350;70,81239;6,81216;0,02975
17,10000;0,28519;70,94410;6,82483;0,02993
17,20000;0,28637;71,62152;6,89000;0,03005
