Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,53621;0,05158;0,00000
0,10000;0,00069;0,79337;0,07632;0,00007
0,20000;0,00300;5,63564;0,54215;0,00031
0,30000;0,00475;9,78168;0,94100;0,00050
0,40000;0,00675;12,25928;1,17934;0,00071
0,50000;0,00837;14,25389;1,37123;0,00088
0,60000;0,00969;14,45462;1,39054;0,00102
0,70000;0,01181;15,48328;1,48949;0,00124
0,80000;0,01356;15,41427;1,48285;0,00142
0,90000;0,01481;15,85963;1,52570;0,00155
1,00000;0,01644;16,36141;1,57397;0,00172
1,10000;0,01850;16,60604;1,59750;0,00194
1,20000;0,02012;16,87575;1,62345;0,00211
1,30000;0,02137;16,95729;1,63129;0,00224
1,40000;0,02344;17,39007;1,67293;0,00246
1,50000;0,02519;16,18578;1,55707;0,00264
1,60000;0,02656;16,30497;1,56854;0,00279
1,70000;0,02806;16,69384;1,60595;0,00294
1,80000;0,03012;16,12306;1,55104;0,00316
1,90000;0,03187;17,07645;1,64276;0,00334
2,00000;0,03306;18,76999;1,80568;0,00347
2,10000;0,03512;20,90889;2,01144;0,00369
2,20000;0,03681;22,00028;2,11643;0,00386
2,30000;0,03837;23,76908;2,28659;0,00403
2,40000;0,03969;24,70366;2,37649;0,00416
2,50000;0,04181;25,59435;2,46218;0,00439
2,60000;0,04356;24,57823;2,36443;0,00457
2,70000;0,04475;24,98592;2,40365;0,00470
2,80000;0,04662;25,57554;2,46037;0,00489
2,90000;0,04850;25,65708;2,46821;0,00509
3,00000;0,05012;24,95456;2,40063;0,00526
3,10000;0,05137;24,37122;2,34451;0,00539
3,20000;0,05344;24,82284;2,38796;0,00561
3,30000;0,05525;23,54956;2,26547;0,00580
3,40000;0,05644;23,30493;2,24194;0,00592
3,50000;0,05819;23,78162;2,28779;0,00611
3,60000;0,06012;23,17948;2,22987;0,00631
3,70000;0,06187;23,15440;2,22746;0,00649
3,80000;0,06300;23,06658;2,21901;0,00661
3,90000;0,06506;23,84435;2,29383;0,00683
4,00000;0,06687;26,18395;2,51890;0,00702
4,10000;0,06819;29,17587;2,80672;0,00716
4,20000;0,06981;31,18929;3,00041;0,00733
4,30000;0,07181;33,62298;3,23453;0,00754
4,40000;0,07362;36,13194;3,47590;0,00773
4,50000;0,07469;37,70003;3,62675;0,00784
4,60000;0,07669;40,06471;3,85423;0,00805
4,70000;0,07850;42,51720;4,09016;0,00824
4,80000;0,07994;44,63100;4,29351;0,00839
4,90000;0,08137;46,87652;4,50953;0,00854
5,00000;0,08350;48,94640;4,70865;0,00876
5,10000;0,08531;51,21073;4,92648;0,00895
5,20000;0,08644;53,23042;5,12077;0,00907
